Country,State,Location,Activity,Date,Year,Type,Month,Sex,Age,Injury_Category,Time,Species,Fatal Y/N
Thailand,"Muang District Of Satun Province,",Chebilang Pier,Playing,28-may-2020,2020,Unprovoked,May,M,12.0,Injury,No time specified,Bull Shark,N
Spain,Canary Islands,"Famara Beach, Lanzarote",Playing,26 may 2020,2020,Unprovoked,May,M,9.0,Injury,No time specified,Other/Unknown,N
French Polynesia,Tahiti,Vallée Blanche,Snorkeling,17 may 2020,2020,Unprovoked,May,Unknown,,Injury,No time specified,Blacktip Shark,N
Usa,California,"Sand Dollar Beach, Santa Cruz County",Surfing,09-may-2020,2020,Unprovoked,May,M,26.0,Fatal,13:30,White Shark,Y
Australia,Victoria,"Southside Beach, Near Geelong",Surfing,08-may-2020,2020,Unprovoked,May,M,,Injury,16:00,Other/Unknown,N
Usa,California,"Summerland, Santa Barbara County",Swimming,01-may-2020,2020,Unprovoked,May,F,57.0,Injury,14:30,Other/Unknown,N
Usa,California,"Moonlight Beach, San Diego County",Body Boarding,29-apr-2020,2020,,April,M,16.0,Minor injury,17:45,Other/Unknown,N
Australia,New South Wales,Killick Creek Near Crescent Head,Swimming,21-apr-2020,2020,Unprovoked,April,F,,Injury,08:00,Other/Unknown,N
Usa,Florida,"Cocoa Beach, Brevard  County",Surfing,07-apr-2020,2020,Unprovoked,April,F,,Injury,10:00,Bull Shark,N
Australia,Queensland,North West Island,Swimming,06-apr-2020,2020,Unprovoked,April,M,23.0,Fatal,17:30,Other/Unknown,Y
Australia,New South Wales,Wamberal Beach,Surfing,06-apr-2020,2020,Unprovoked,April,M,38.0,Injury,10:00,Other/Unknown,N
Usa,California,"Pleasure Point, Santa Cruz County",Stand-Up Paddleboarding,27-mar-2020,2020,Unprovoked,March,M,,No injury,No time specified,Other/Unknown,N
Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,22-mar-2020,2020,Unprovoked,March,M,,Injury,12:20,Other/Unknown,N
Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,22-mar-2020,2020,Unprovoked,March,M,,Injury,10:50,Other/Unknown,N
Australia,Queensland,Cairns,,21-mar-2020,2020,Unprovoked,March,F,,Injury,No time specified,Other/Unknown,N
New Zealand,North Island,"Stanmore Bay, Auckland",Kayak fishing,reported 14-mar-2020,2020,Provoked,March,M,,No injury,No time specified,White Shark,N
Fiji,Vanua Levu,"Tawake, Cakaudrove",Spearfishing,02-mar-2020,2020,Unprovoked,March,M,26.0,Injury,No time specified,Other/Unknown,N
New Zealand,North Island,Pauanui Beach,Surfing,22-feb-2020,2020,Unprovoked,February,M,60.0,Minor injury,11:30,White Shark,N
Usa,Maui,Wailea,Stand-Up Paddle boarding,05-feb-2020,2020,Unprovoked,February,M,,No injury,09:40,Tiger Shark,N
French Polynesia,Marquesas,Ua Huka,Canoeing,01-feb-2010,2020,Unprovoked,February,M,,No injury,06:30,Other/Unknown,N
Bahamas,Exumas,,Floating,reported 30-jan-2020,2020,Provoked,January,F,24.0,Minor injury,No time specified,Other/Unknown,N
Australia,New South Wales,Windang Beach,Surfing,17-jan-2020,2020,Unprovoked,January,M,59.0,Injury,08:00,Other/Unknown,N
New Zealand,Southland,Oreti Beach,Surfing,16-jan-2020,2020,Unprovoked,January,F,13.0,Minor injury,20:30,Other/Unknown,N
Usa,North Carolina,"Rodanthe, Dare County",Surfing,13-jan-2020,2020,Unprovoked,January,M,26.0,Injury,14:33,Other/Unknown,N
Thailand,Phang Nga Province,Nang Thong Beach,Swimming,12-jan-2020,2020,Unprovoked,January,M,75.0,Injury,07:15,Other/Unknown,N
Australia,Queensland,North West Island,Swimming,07-jan-2020,2020,Unprovoked,January,F,7.0,Injury,17:30,Lemon Shark,N
Australia,Western Australia,Cull Island / Esperance,Scuba diving,05-jan-2020,2020,Unprovoked,January,M,57.0,Fatal,13:00,White Shark,Y
New Caledonia,,Calana,,03-jan-2020,2020,Unprovoked,January,M,12.0,Injury,No time specified,Other/Unknown,N
Australia,Western Australia,Esperance,Swimming after being swept off rocks,02-jan-2020,2020,Questionable,January,M,21.0,Other,16:10,Other/Unknown,Y
Australia,Queensland,North West Island,Swimming,30-dec-2019,2019,Unprovoked,December,M,,Minor injury,12:58,Other/Unknown,N
Seychelles,Praslin,Amitié Beach,Swimming,28-dec-2019,2019,Unprovoked,December,F,45.0,Injury,19:00,Other/Unknown,N
Papua New Guinea,Central Province,Ragelapara Reef,Spearfishing,26-dec-2019,2019,Unprovoked,December,M,33.0,Fatal,16:30,Other/Unknown,Y
South Africa,Eastern Cape Province,"Nahoon Beach, East London",Surf skiing,26-dec-2019,2019,Unprovoked,December,M,,No injury,07:00,Other/Unknown,N
New Zealand,Southland,Oreti Beach,Boogie boarding,24-dec-2019,2019,Unprovoked,December,F,17.0,Injury,No time specified,Other/Unknown,N
Usa,California,"Santa Rosa Island, Ventura County",Surfing,21-dec-2019,2019,Unprovoked,December,M,37.0,Injury,16:15,Other/Unknown,N
Australia,New South Wales,Shellharbour,Fishing,20-dec-2019,2019,Provoked,December,Unknown,,Other,No time specified,White Shark,UNKNOWN
Reunion Island,,,Kayaking,12-dec-2019,2019,Questionable,December,M,70.0,Other,No time specified,Tiger Shark,Y
Australia,Western Australia,Exmouth,Free diving,06-dec-2019,2019,Unprovoked,December,M,57.0,Injury,09:00,Other/Unknown,N
Cuba,Holquin,Guardalavaca Beach,Swimming,04-dec-2019,2019,Unprovoked,December,M,22.0,Fatal,23:00,Other/Unknown,Y
Usa,Hawaii,"Cove Park, Kihei, Maui",Stand-Up Paddleboarding,03-dec-2019,2019,Unprovoked,December,M,57.0,No injury,10:00,Tiger Shark,N
Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,30-nov-2019,2019,Unprovoked,November,M,9.0,No injury,No time specified,Blacktip Shark,N
Australia,Queensland,Bargara,Snorkeling,30-nov-2019,2019,Unprovoked,November,M,30.0,Injury,18:00,Other/Unknown,N
Australia,Queensland,"Elliot Head, Near Bundaberg.",Spearfishing,23-nov-2019,2019,Questionable,November,M,38.0,Other,No time specified,Other/Unknown,Y
Mexico,Guerrero,Off Barra Vieja,Fishing,23-nov-2019,2019,Provoked,November,M,,Injury,15:00,Other/Unknown,N
Israel,,Haifa,Snorkeling,22-nov-2019,2019,Unprovoked,November,M,,No injury,No time specified,Other/Unknown,N
French Polynesia,Moorea,Afareitu Lagoonarium.,Feeding sharks,14-nov-2019,2019,Provoked,November,M,9.0,Injury,No time specified,Blacktip Shark,N
Usa,Florida,"Cocoa Beach, Brevard  County",Surfing,12-nov-2019,2019,Unprovoked,November,M,30.0,Injury,No time specified,Blacktip Shark,N
Mexico,Baja,Magdalena Bay,Snorkeling,11-nov-2019,2019,Unprovoked,November,M,23.0,Injury,No time specified,Other/Unknown,N
South Africa,Eastern Cape Province,East London,Kayaking fishing,09-nov-2019,2019,Watercraft,November,M,,No injury,06:50,White Shark,N
Usa,California,"San Onofre, San Diego County",Surfing,06-nov-2019,2019,Unprovoked,November,F,,Other,08:00,White Shark,N
Reunion Island,Saint-Gilles,L’Hermitage Lagoon,Snorkeling,02-nov-2019,2019,Questionable,November,M,44.0,Other,No time specified,Tiger Shark,Y
Australia,Queensland,"Off Airlie Beach, Whitsundays",Snorkeling,29-oct-2019,2019,Unprovoked,October,M,,Severe injury,10:20,Tiger Shark,N
Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,27-oct-2019,2019,Provoked,October,M,32.0,Minor injury,12:45,Other/Unknown,N
Usa,California,"Cambria, San Luis Obispo County",Kayak fishing,25-oct-2019,2018,Unprovoked,October,M,,No injury,08:30,White Shark,N
French Polynesia,Moorea,Opunohu Bay,Snorkeling,21-oct-2019,2019,Unprovoked,October,F,35.0,Severe injury,11:30,White Shark,UNKNOWN
Australia,Queensland,"Woorim Beach, Bribie Island,",Surfing,17-oct-2019,2019,Unprovoked,October,M,17.0,No injury,17:30,Other/Unknown,N
Usa,Florida,"Fort Pierce, St. Lucie County",Surfing,08-oct-2019,2019,Unprovoked,October,M,20.0,Injury,12:00,Other/Unknown,N
Australia,New South Wales,Lighthouse Beach,Surfing,05-oct-2019,2019,Unprovoked,October,M,29.0,No injury,16:00,White Shark,N
Usa,California,"Ship Rock Near Catalina, Los Angeles County",Kayaking,05-oct-2019,2019,Watercraft,October,M,51.0,No injury,16:30,White Shark,N
Usa,Guam,Talofofo Bay,Surfing,reported 04-oct-2019,2019,Unprovoked,October,M,,Minor injury,No time specified,Other/Unknown,N
Australia,Northern Territory,"Nightcliff Jetty, Darwin",Fishing,28-sep-2019,2019,Provoked,September,M,45.0,Other,No time specified,Other/Unknown,N
Usa,Hawaii,"Kihei, South Maui",Surfing,26-sep-2019,2019,Unprovoked,September,F,,No injury,09:15,Other/Unknown,N
Usa,Florida,"Huguenot Park, Jacksonville, Duval County",Swimming,24-sep-2019,2019,Unprovoked,September,M,,Injury,17:00,Other/Unknown,N
Usa,Florida,"Satellite Beach, Brevard County",Surfing,24-sep-2019,2019,Unprovoked,September,M,13.0,Injury,16:30,Other/Unknown,N
Usa,Hawaii,"Haleiwa, Oahu",Snorkeling,18-sep-2019,2019,Unprovoked,September,Unknown,,Minor injury,10:40,Other/Unknown,N
Usa,South Carolina,"Isle Of Palms,  Charleston County",,15-sep-2019,2019,Unprovoked,September,F,22.0,Injury,No time specified,Other/Unknown,N
Australia,Western Australia,"Burns Beach, Perth",Spearfishing,07-sep-2019,2019,Unprovoked,September,M,,No injury,09:00,White Shark,N
Usa,Cayman Islands,Grand Cayman,Spearfishing,31-aug-2019,2019,Unprovoked,August,M,70.0,Injury,No time specified,Nurse Shark,N
Usa,Florida,"Jacksonville Beach, Duval County",,31-aug-2019,2019,Unprovoked,August,M,,Injury,No time specified,Other/Unknown,N
Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,27-aug-2019,2019,Provoked,August,M,40.0,Injury,11:55,Other/Unknown,N
Usa,Florida,"Fort Lauderdale, Broward County",Wading,21-aug-2019,2019,Unprovoked,August,M,11.0,Injury,09:00,Other/Unknown,N
Usa,Hawaii,"Napoopoo Park In Kealakekua Bay, The Big Island",Swimming/ Treading water,20-aug-2019,2019,Unprovoked,August,F,26.0,Injury,08:00,Other/Unknown,N
Fiji,,Reef 40Km East Vanua Levu,Spearfishing,16-aug-2019,2019,Unprovoked,August,M,32.0,Injury,12:30,Other/Unknown,N
Usa,Florida,"New Smyrna Beach, Volusia County",Wading,16-aug-2019,2019,Unprovoked,August,M,9.0,Injury,11:00,Other/Unknown,N
Usa,Hawaii,"Makaha Beach, Oahu",Surfing,11-aug-2019,2019,Unprovoked,August,M,16.0,No injury,19:30,Other/Unknown,N
Usa,Florida,"New Smyrna Beach, Volusia County",Standing,04-aug-2019,2019,Unprovoked,August,M,51.0,Minor injury,15:00,Other/Unknown,N
Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,03-aug-2019,2019,Unprovoked,August,F,21.0,Minor injury,16:00,Other/Unknown,N
Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,03-aug-2019,2019,Unprovoked,August,M,20.0,Injury,15:30,Other/Unknown,N
Usa,Florida,Off Key Biscayne,Spearfishing / Diving,03-aug-2019,2019,Unprovoked,August,M,37.0,Injury,No time specified,Other/Unknown,N
Usa,Hawaii,Molokai Channel/,Swimming,29-jul-2019,2019,Unprovoked,July,M,49.0,Injury,22:20,Other/Unknown,N
Usa,North Carolina,"Off Cape Hatteras, Dare County",Fishing,30-jul-2019,2019,Provoked,July,M,,Injury,No time specified,Blacktip Shark,N
Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,29-jul-2019,2019,Unprovoked,July,M,18.0,Injury,13:30,Other/Unknown,N
Australia,Queensland,Magra Islet,Snorkeling,28-jul-2019,2019,Unprovoked,July,F,,Injury,18:30,Other/Unknown,UNKNOWN
Usa,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,27-jul-2019,2019,Unprovoked,July,M,49.0,Injury,16:30,Other/Unknown,N
Usa,Florida,"Jacksonville Beach, Duval County",Surfing,27-jul-2019,2019,Unprovoked,July,M,23.0,Injury,No time specified,Blacktip Shark,N
Usa,Rhode Island,"Moonstone Beach, South Kingstown, Washington County",Surfing,22-jul-2019,2019,Unprovoked,July,M,18.0,Injury,18:30,Tiger Shark,N
Usa,Florida,"Haulover Inlet, Miami-Dade County",Diving,18-jul-2019,2019,Unconfirmed,July,Unknown,,Unknown,No time specified,Other/Unknown,UNKNOWN
New Zealand,Chatham Islands,Pitt Island Or Chatham Island,Scuba diving,reported 17-jul-2019,2019,Unprovoked,July,M,45.0,No injury,No time specified,White Shark,N
Usa,North Carolina,"Sunset Beach, Brunswick County",Body-surfing,16-jul-2019,2019,Unprovoked,July,F,,Injury,16:30,Other/Unknown,N
Usa,Florida,"Amelia Island, Nassau County",Boogie boarding,12-jul-2019,2019,Unprovoked,July,F,16.0,Injury,07:30,Other/Unknown,N
South Africa,Eastern Cape Province,"East Beach, Port Alfred",Surfing,10-jul-2019,2019,Unprovoked,July,M,,Injury,10:30,White Shark,N
Australia,Queensland,"Pelican Waters, Caloundra",Paddle boarding,09-jul-2019,2019,Unprovoked,July,M,43.0,Injury,08:00,Bull Shark,N
Mexico,Quinta Roo,Cabo Catoche,Fishing,06-jul-2019,2019,Provoked,July,M,,Injury,No time specified,Other/Unknown,N
Bahamas,Abaco Islands,Great Guana Cay,Snorkeling,04-jul-2019,2019,Unprovoked,July,M,32.0,Unknown,17:30,Other/Unknown,N
Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,30-jun-2019,2019,Unprovoked,June,M,18.0,Minor injury,16:30,Other/Unknown,N
Bahamas,Lucayan Archipelago,Rose Island,Snorkeling,26-jun-2019,2019,Unprovoked,June,F,21.0,Fatal,14:00,Other/Unknown,Y
Bahamas,Abaco Islands,,Spearfishing,21-jun-2019,2019,Unprovoked,June,M,,Injury,No time specified,Other/Unknown,N
Usa,North Carolina,"Bald Head Island, Brunswick County",Swimming,16-jun-2019,2019,Unprovoked,June,M,8.0,Injury,16:00,Other/Unknown,N
Bahamas,,Wells Cay,Snorkeling,17-jun-2019,2019,Unprovoked,June,M,50.0,Injury,No time specified,Other/Unknown,UNKNOWN
Usa,Georgia,"Wilmington River, Chatham County",Swimming,16-jun-2019,2019,Unprovoked,June,M,64.0,Injury,09:00,Bull Shark,N
Usa,North Carolina,"Ocean Isle, Brunswick County",Surfing,10-jun-2019,2019,Unprovoked,June,M,19.0,Injury,14:00,Other/Unknown,N
Australia,Tasmania,Maatsuyker Island,Abalone diving,reported 06-jun-2019,2019,Unprovoked,June,M,,No injury,No time specified,Other/Unknown,N
Australia,New South Wales,Lennox Head,Surfing,05-jun-2019,2019,Unverified,June,M,,Injury,13:00,Other/Unknown,N
Usa,North Carolina,"Fort Macon State Beach, Carteret County",Standing,02-jun-2019,2019,Unprovoked,June,F,17.0,Severe injury,12:20,Other/Unknown,N
New Caledonia,Bélep Islands,Cook Reef,Fishing,29-may-2019,2019,Unprovoked,May,M,43.0,Fatal,No time specified,Other/Unknown,Y
Usa,Hawaii,"Honokowai Point, Maui",Swimming,25-may-2019,2019,Unprovoked,May,M,65.0,Fatal,08:48,Other/Unknown,Y
New Caledonia,Noumea,Port South Marina,Swimming,25-may-2019,2019,Unprovoked,May,M,10.0,Severe injury,16:00,Bull Shark,N
Usa,New Jersey,"Ship Bottom, Ocean County",Body Boarding,20-may-2019,2019,Unprovoked,May,M,67.0,No injury,No time specified,Other/Unknown,N
Fiji,,Beqa,Scuba diving,17-may-2019,2019,Unprovoked,May,M,,Injury,No time specified,Tiger Shark,N
Usa,Hawaii,"Browns, Oahu",Surfing,14-may-2019,2019,Unprovoked,May,M,,No injury,08:30,Other/Unknown,N
Australia,Queensland,Yandaran Beach,Body Surfing,14-may-2019,2019,Unprovoked,May,M,53.0,Injury,16:21,Other/Unknown,N
Reunion Island,,Saint Leu,Surfing,09-may-2018,2019,Unprovoked,May,M,28.0,Fatal,16:26,Other/Unknown,Y
Usa,Hawaii,O'Ahu,Swimming with sharks,08-may-2019,2019,Unprovoked,May,F,34.0,Injury,09:00,Other/Unknown,N
Usa,California,"North Salmon Creek Beach, Sonoma County",Surfing,07-may-2019,2019,Unprovoked,May,F,28.0,No injury,No time specified,White Shark,N
Brazil,Fernando De Noronha,Praia De Porto,Fishing,04-may-2019,2019,Provoked,May,M,12.0,Injury,No time specified,Lemon Shark,N
Usa,Florida,"Off Boca Grande, Lee County",Fishing,01-may-2019,2019,Unprovoked,May,M,,Injury,18:45,Other/Unknown,N
Australia,New South Wales,Tomaree,Spearfishing,reported 27-apr-2019,2019,Unprovoked,April,M,18.0,Injury,14:00,Nurse Shark,N
Usa,Hawaii,"Anaehoomalu Bay, Hawaii",Kayaking,23-apr-2019,2019,Unprovoked,April,F,65.0,Injury,08:30,Tiger Shark,N
Usa,Florida,"Jacksonville Beach, Duval County",,21-apr-2019,2019,Unprovoked,April,M,25.0,Minor injury,17:30,Other/Unknown,N
Usa,Florida,"Crescent Beach, St Johns County",Boogie boarding,12-apr-2019,2019,Questionable,April,F,10.0,Minor injury,17:45,Other/Unknown,N
Usa,Hawaii,"North Koahala, Big Island",Picking opihi,06-apr-2019,2019,Questionable,April,M,58.0,Other,No time specified,Tiger Shark,N
Usa,Hawaii,Kaiwi Channel,Swimming,06-apr-2019,2019,Unprovoked,April,M,23.0,Injury,01:00,Other/Unknown,N
China,Liaoning Province,"Laohutan Ocean Park Aquarium, Dalian City",Diving in shark tank,05-apr-2019,2019,Provoked,April,F,,Injury,No time specified,Tiger Shark,N
Usa,Hawaii,Waikoloa Area,Paddling an outrigger canoe,26-mar-2019,2019,Watercraft,March,M,74.0,Injury,10:00,Other/Unknown,N
Australia,Queensland,Line Reef,Swimming,25-mar-2019,2019,Unprovoked,March,M,25.0,Injury,12:30,Other/Unknown,N
Usa,Florida,"Hobe Sound, Martin County",Surfing,22-mar-2019,2019,Unprovoked,March,M,46.0,Injury,16:00,Other/Unknown,N
Mexico,Guerrero,Troncones,Swimming,21-mar-2019,2019,Unprovoked,March,M,32.0,Injury,17:30,Other/Unknown,N
Usa,Hawaii,Kaiwi Channel,Swimming,16-mar-2019,2019,Unprovoked,March,M,58.0,Injury,03:00,Other/Unknown,N
Usa,Florida,"Stuart Beach, Martin County",Boogie boarding,12-mar-2019,2019,Unprovoked,March,M,11.0,Injury,14:00,Other/Unknown,N
Usa,Oregon,"Cape Kiwanda, Tillamook County",Surfing,05-mar-2019,2019,Unprovoked,March,M,,No injury,08:30,Other/Unknown,N
South Africa,Eastern Cape Province,30 Nm Off Port Elizabeth,Fishing,05-mar-2019,2019,Provoked,March,M,46.0,Injury,16:00,Other/Unknown,N
Usa,California,"Dog Beach, Huntington Beach",Surfing,18-feb-2018,2019,Unprovoked,February,M,,No injury,08:15,Other/Unknown,N
Australia,New South Wales,Belongil Bay,Surfing,17-feb-2019,2019,Unprovoked,February,M,41.0,Injury,06:40,Other/Unknown,N
Brazil,Fernando De Noronha,Cacimba Do Padre,Surfing,14-feb-2019,2019,Unprovoked,February,M,31.0,Minor injury,17:30,Lemon Shark,N
Australia,Northern Territory,Groote Eylandt,Spearfishing,10-feb-2019,2019,Unprovoked,February,M,25.0,Injury,No time specified,Other/Unknown,N
Usa,Hawaii,"Hanalei Bay, Kauai",Surfing,04-feb-2019,2019,Unprovoked,February,M,,Injury,13:40,Tiger Shark,N
Australia,New South Wales,Urunga Area,Surfing,04-feb-2019,2019,Unprovoked,February,M,50.0,No injury,06:15,Other/Unknown,N
South Africa,Kwazulu-Natal,Mtunzini,Fishing,02-feb-2019,2019,Watercraft,February,M,,Injury,No time specified,Other/Unknown,N
Usa,Florida,Key Biscayne,Spearfishing,02-feb-2019,2019,Unprovoked,February,M,50.0,Injury,10:00,Bull Shark,N
Reunion Island,,Sainte-Rose At The Mouth Of Riviere De L'Est,Fishing,30-jan-2019,2019,Unprovoked,January,M,41.0,Fatal,09:15,Other/Unknown,Y
New Zealand,South Island,Oreti Beach,Boogie boarding,29-jan-2019,2019,Invalid,January,F,17.0,Injury,No time specified,Other/Unknown,N
Australia,Western Australia,North Cottesloe,Swimming,14-jan-2019,2019,Unprovoked,January,F,15.0,Minor injury,11:30,Wobbegong Shark,N
Australia,Queensland,"Catseye Beach, Hamilton Island, Whitsundays",Wading,10-jan-2019,2019,Invalid,January,F,,Injury,09:30,Other/Unknown,N
Usa,California,"Sandspit Beach, Montaña De Oro State Park",Surfing,8-jan-2019,2019,Unprovoked,January,M,19.0,Injury,10:00,White Shark,N
Mexico,Sonora,Southeast Of Puerto Peñasco,Diving,18-dec-2018,2018,Unprovoked,December,M,35.0,Fatal,11:00,Tiger Shark,Y
Australia,New South Wales,,,15-dec-2018,2018,Provoked,December,M,48.0,Injury,11:00,Wobbegong Shark,N
New Zealand,North Island,Matauri Bay,Spearfishing,15-dec-2018,2018,Unprovoked,December,M,24.0,Injury,11:20,Other/Unknown,N
New Zealand,North Island,Ti Point,Spearfishing,09-dec-2018,2018,Unprovoked,December,M,50.0,No injury,08:00,Bronze Whaler Shark,N
Australia,New South Wales,Nambucca,Surfing,09-dec-2018,2018,Unprovoked,December,M,36.0,Injury,07:15,Other/Unknown,N
Australia,New South Wales,South Steyne,Surfing,28-nov-2018,2018,Unprovoked,November,M,,Injury,18:30,Wobbegong Shark,N
Usa,Florida,"Juno Beach, Palm Beach County",Surfing,24-nov-2018,2018,Unprovoked,November,M,48.0,Injury,17:00,Other/Unknown,N
Australia,Northern Territory,Off Nhulunbuy,Spearfishing,18-nov-2018,2018,Unprovoked,November,M,17.0,Severe injury,10:00,Other/Unknown,N
Australia,New South Wales,"7 Mile Beach, Gerroa",Surfing,17-nov-2018,2018,Unprovoked,November,M,24.0,Injury,13:00,Other/Unknown,N
Australia,Queensland,Moffat Beach,Kayaking,14-nov-2018,2018,Watercraft,November,M,31.0,No injury,06:50,Tiger Shark,N
South Africa,Kwazulu-Natal,Tinley Manor,Fishing,11-nov-2018,2018,Unprovoked,November,M,41.0,No injury,No time specified,White Shark,N
Australia,Western Australia,"Pyramids Beach, Mandurah",Body Boarding,11-nov-2018,2018,Unprovoked,November,M,20.0,Injury,08:40,Tiger Shark,N
Bahamas,Exumas,Compass Cay,Swimming,09-nov-2018,2018,Unprovoked,November,M,8.0,Injury,13:30,Nurse Shark,N
Australia,New South Wales,"Shelly Beach, Ballina",Surfing,07-nov-2018,2018,Unprovoked,November,M,42.0,Injury,06:45,Other/Unknown,N
Australia,Queensland,"Cid Harbor, Whitsundays",Swimming,05-nov-2018,2018,Unprovoked,November,M,33.0,Fatal,17:30,Other/Unknown,Y
Egypt,,Brothers' Island,Scuba diving,03-nov-2018,2018,Unprovoked,November,M,,Other,No time specified,White Shark,N
Australia,Western Australia,"Guillotines Surf Break, Shire Of Augusta Margaret River",Surfing,24-oct-2018,2018,Unprovoked,October,M,,No injury,09:00,Other/Unknown,N
Usa,Florida,"Near Patrick Afb, Brevard County",Surfing,23-oct-2018,2018,Unprovoked,October,F,,Injury,No time specified,Other/Unknown,N
Usa,Florida,"Ponce Inlet, Volusia County",Surfing,23-oct-2018,2018,Unprovoked,October,M,29.0,Minor injury,No time specified,Other/Unknown,N
Usa,California,Farallon Islands,Diving / Filming,23-oct-2018,2018,Unprovoked,October,M,,Injury,No time specified,White Shark,N
Australia,New South Wales,Samurai Beach,Body Surfing,19-oct-2018,2018,Unprovoked,October,M,50.0,Injury,07:00,Bull Shark,N
New Zealand,North Island,Baylys Beach,Surfing,19-oct-2018,2018,Unprovoked,October,M,25.0,Severe injury,18:00,White Shark,N
Samoa,Upolo,,Surf skiing,reported 16-oct-2018,2018,Watercraft,October,M,,No injury,No time specified,Other/Unknown,N
Australia,Western Australia,Two Rocks Near Three Mile Reef,Spearfishing,13-oct-2018,2018,Questionable,October,M,,No injury,12:00,White Shark,N
Usa,Florida,"Bethune Beach, Volusia County",Surfing,11-oct-2018,2018,Unprovoked,October,F,,Other,No time specified,Other/Unknown,N
Australia,Queensland,Swain Reef,Fishing,08-oct-2018,2018,Provoked,October,M,55.0,Injury,No time specified,Other/Unknown,N
Usa,California,"Beacons Beach, San Diego County",Diving,29-sep-2018,2018,Unprovoked,September,M,13.0,Injury,06:55,White Shark,N
Australia,Northern Territory,Groote Eylandt,,28-sep-2018,2018,Unprovoked,September,M,17.0,Injury,No time specified,Bull Shark,N
Usa,California,Humboldt County,Fishing,27-sep-2018,2018,Watercraft,September,M,55.0,No injury,15:00,White Shark,N
Fiji,Vanua Levu,Cakau Levu,Diving,23-sep-2018,2018,Provoked,September,M,,Minor injury,15:00,Nurse Shark,N
Bahamas,Abaco Islands,Treasure Cay,Spearfishing,23-sep-2018,2018,Unprovoked,September,F,32.0,Injury,13:42,Blacktip Shark,N
Usa,Florida,"Jacksonville Beach, Duval County",,20-sep-2018,2018,Questionable,September,F,,Injury,12:00,Other/Unknown,N
Jamaica,St. Marys Parish,James Bond Beach,Spearfishing,19-sep-2018,2018,Unprovoked,September,M,43.0,Fatal,No time specified,Other/Unknown,Y
Australia,Queensland,"Cid Harbor, Whitsundays",Swimming,20-sep-2018,2018,Unprovoked,September,F,12.0,Injury,13:45,Other/Unknown,N
Australia,Queensland,"Cid Harbor, Whitsundays",Swimming,19-sep-2018,2018,Unprovoked,September,F,46.0,Injury,17:00,Other/Unknown,N
Usa,Massachusetts,"Newcomb Hollow Beach, Wellfleet, Barnstable County",Boogie boarding,15-sep-2018,2018,Unprovoked,September,M,26.0,Fatal,12:00,White Shark,Y
Usa,Florida,"Ponce Inlet, Volusia County",Surfing,08-sep-2018,2018,Unprovoked,September,M,39.0,Injury,13:15,Other/Unknown,N
Usa,Hawaii,"Pounders Beach, Oahu",Stand-Up Paddleboarding,08-sep-2018,2018,Unprovoked,September,M,23.0,Injury,08:30,Tiger Shark,N
Usa,Florida,"Fort Pierce, St. Lucie County",Surfing,07-sep-2018,2018,Unprovoked,September,M,,Injury,09:29,Other/Unknown,N
Ireland,County Cork,,Fishing,01-sep-2018,2018,Provoked,September,M,40.0,Injury,18:00,Other/Unknown,N
Bahamas,,,Diving,reported 28-aug-2018,2018,Unprovoked,August,M,,Injury,No time specified,Lemon Shark,N
Usa,California,"Huntington Beach, Orange County",Swimming,24-aug-2018,2018,Unprovoked,August,M,14.0,No injury,20:00,Other/Unknown,N
Bahamas,Abaco Islands,Carter'S Cay,Spearfishing,20-aug-2018,2018,Unprovoked,August,M,29.0,Injury,No time specified,Other/Unknown,N
Usa,North Carolina,"Atlantic Beach, Carteret  County",Surfing,18-aug-2018,2018,Unprovoked,August,M,14.0,Injury,10:47,Other/Unknown,N
Italy,"Chieti, Province",Torino Di Sangro,Playing,18-aug-2018,2018,Unprovoked,August,M,24.0,Injury,No time specified,Other/Unknown,N
Bahamas,Abaco Islands,"Coco Bay, Green Turtle Cay",Standing,15-aug-2018,2018,Unprovoked,August,F,56.0,Injury,08:30,Nurse Shark,N
Usa,Maryland,"Rhode River, Chesapeake Bay",,15-aug-2018,2018,Questionable,August,M,,Minor injury,No time specified,Other/Unknown,N
Usa,Massachusetts,"Longnook Beach, Truro, Barnstable County",Swimming,15-aug-2018,2018,Unprovoked,August,M,61.0,Injury,16:00,White Shark,N
Usa,Texas,"Crystal Beach, Galveston  County",Spearfishing,09-aug-2018,2018,Unprovoked,August,M,42.0,Injury,10:00,Bull Shark,N
Usa,North Carolina,"Bald Head Island, Brunswick County",Standing,05-aug-2018,2018,Unprovoked,August,M,16.0,Injury,No time specified,Blacktip Shark,N
Usa,North Carolina,"Bald Head Island, Brunswick County",Swimming/Standing,05-aug-2018,2018,Unprovoked,August,F,,Injury,10:30,Other/Unknown,N
